City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
65,jardim,-21.4803,-56.1381,29.670000000000016,59,86,2.49,BR,1670184469
66,tuktoyaktuk,69.4541,-133.0374,-27.149999999999977,98,27,3.75,CA,1670184469
67,jalingo,8.8833,11.3667,28.07000000000005,20,73,2.13,NG,1670184066
68,haines junction,60.7522,-137.5108,-20.029999999999973,77,30,0.51,CA,1670183989
69,clyde river,70.4692,-68.5914,-15.870000000000005,85,100,15.43,CA,1670184060
70,maridi,4.9158,29.4742,22.610000000000014,65,55,2.13,SS,1670184470
71,awka,6.2101,7.0741,28.439999999999998,47,62,2.29,NG,1670184471
72,zhangjiakou,40.81,114.8794,-9.829999999999984,34,0,1.86,CN,1670184471
73,port alfred,-33.5906,26.891,18.430000000000007,87,100,0.45,ZA,1670184471
74,hasaki,35.7333,140.8333,8.220000000000027,76,100,8.93,JP,1670183942
75,mancio lima,-7.6142,-72.8958,31.060000000000002,48,98,1.08,BR,1670184117
76,birao,10.2849,22.7882,24.620000000000005,27,100,2.77,CF,1670184472
77,sarvar,47.2539,16.9352,5.920000000000016,87,100,4.38,HU,1670184473
78,mahebourg,-20.4081,57.7,25.160000000000025,73,20,3.09,MU,1670183974
79,kushima,31.4583,131.2333,11.430000000000007,88,100,3.32,JP,1670184473
80,airai,-8.9266,125.4092,15.0,66,76,0.92,TL,1670184474
81,komsomolskiy,40.4272,71.7189,1.400000000000034,93,75,3.09,UZ,1670184474
82,portland,45.5234,-122.6762,2.5600000000000023,90,100,4.12,US,1670184311
83,namibe,-15.1961,12.1522,21.29000000000002,81,67,3.1,AO,1670184051
84,kahului,20.8947,-156.47,26.02000000000004,80,100,4.92,US,1670184088
85,north bend,43.4065,-124.2243,11.150000000000034,94,100,2.57,US,1670184475
86,nishihara,26.1842,127.7558,21.600000000000023,89,20,2.06,JP,1670184475
87,kodiak,57.79,-152.4072,2.730000000000018,87,75,3.6,US,1670184476
88,saint george,37.1041,-113.5841,14.680000000000007,45,0,2.06,US,1670184476
89,cockburn town,21.4612,-71.1419,25.060000000000002,68,1,8.71,TC,1670184439
90,jamestown,42.097,-79.2353,2.7900000000000205,42,0,5.14,US,1670184477
91,ponta delgada,37.7333,-25.6667,14.720000000000027,77,20,4.12,PT,1670184477
92,kankon,15.0167,74.0167,26.890000000000043,75,100,1.41,IN,1670184478
93,ixtapa,20.7,-105.2,27.57000000000005,69,0,4.63,MX,1670184364
94,taltal,-25.4,-70.4833,20.900000000000034,62,22,2.54,CL,1670184478
95,ribeira grande,38.5167,-28.7,16.220000000000027,67,40,3.6,PT,1670184479
96,qaanaaq,77.484,-69.3632,-21.639999999999986,69,42,3.68,GL,1670184479
97,oranjestad,12.524,-70.027,29.390000000000043,64,20,4.63,AW,1670184455
98,vestmannaeyjar,63.4427,-20.2734,3.660000000000025,80,41,8.37,IS,1670183994
99,sebinkarahisar,40.2883,38.4236,4.480000000000018,71,86,1.47,TR,1670184480
100,doctor juan manuel frutos,-25.3667,-55.8,27.100000000000023,68,73,2.56,PY,1670184480
101,cape town,-33.9258,18.4232,17.29000000000002,61,67,4.47,ZA,1670184481
102,bandarbeyla,9.4942,50.8122,25.410000000000025,68,6,8.87,SO,1670184482
103,avarua,-21.2078,-159.775,28.03000000000003,78,100,3.6,CK,1670183991
104,pevek,69.7008,170.3133,-17.19999999999999,95,100,5.3,RU,1670184148
105,narsaq,60.9167,-46.05,-9.879999999999995,61,0,3.8,GL,1670184066
106,mount isa,-20.7333,139.5,17.870000000000005,59,0,0.0,AU,1670184484
107,faanui,-16.4833,-151.75,26.340000000000032,79,17,6.96,PF,1670184236
108,wajid,3.8093,43.2471,26.840000000000032,44,85,4.09,SO,1670184485
109,saskylakh,71.9167,114.0833,-24.269999999999982,96,100,8.54,RU,1670184486
110,zhigansk,66.7697,123.3711,-26.049999999999983,97,100,5.44,RU,1670184113
111,luanda,-8.8368,13.2343,26.0,83,20,2.57,AO,1670184340
